episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.3095108460000233,True,False
2,460.0,702,1087,0.2,0.025979157981716773,1.6164099240000382,True,False
3,430.0,506,1593,0.2,0.027946346777667268,7.245490366000013,True,False
4,380.0,514,2107,0.2,0.026272118276892797,13.381824558999995,True,False
5,180.0,443,2550,0.2,0.028144089769895044,17.62241440400004,True,False
6,710.0,542,3092,0.2,0.027052417724703178,23.284079350000013,True,False
7,1210.0,740,3832,0.2,0.031578093887986367,30.99992559499998,True,False
8,340.0,471,4303,0.2,0.03618857451380254,36.234912948000044,True,False
9,790.0,913,5216,0.2,0.034425205796881776,46.413213633,True,False
10,260.0,444,5660,0.2,0.035935674424845354,51.803346999999974,True,False
11,190.0,293,5953,0.2,0.04071670943035502,55.24363538699998,True,False
12,1370.0,1167,7120,0.2,0.04130456061481198,67.79391805400002,True,False
13,450.0,600,7720,0.2,0.03880057913290026,74.55836825900002,True,False
14,640.0,632,8352,0.2,0.03658813087098725,81.44202862399999,True,False
15,270.0,524,8876,0.2,0.038699243818445285,87.35082629000004,True,False
16,970.0,821,9697,0.2,0.03441071299518027,96.63310957499999,True,False
17,490.0,506,10203,0.2,0.03667631094706141,101.74125320800005,True,False
18,270.0,364,10567,0.2,0.03530572630864169,105.50305393600007,True,False
19,570.0,515,11082,0.2,0.04053113232420887,111.29749640000006,True,False
20,220.0,385,11467,0.2,0.03644278025118789,115.40059674700007,True,False
21,1180.0,783,12250,0.2,0.038889976576498085,124.45198228400005,True,False
22,930.0,707,12957,0.2,0.0408606561976827,131.87774592099998,True,False
23,410.0,423,13380,0.2,0.042958945062292635,135.99131142800007,True,False
24,580.0,624,14004,0.2,0.042475059252375595,142.82526146499998,True,False
25,260.0,434,14438,0.2,0.04687081612819047,147.74349815800002,True,False
26,390.0,473,14911,0.2,0.04541620635822163,154.68484164500006,True,False
27,430.0,452,15363,0.2,0.04824685576305914,159.99172140499996,True,False
28,920.0,758,16121,0.2,0.04740360760326056,168.808167222,True,False
29,560.0,480,16601,0.2,0.04929624992267539,174.09457851200006,True,False
30,300.0,437,17038,0.2,0.05123121760050775,178.99942108,True,False
31,2030.0,752,17790,0.2,0.04741033182499257,187.571317265,True,False
32,230.0,315,18105,0.2,0.04701850724206129,191.16475083300003,True,False
33,380.0,388,18493,0.2,0.047156641855067814,195.482159372,True,False
34,390.0,439,18932,0.2,0.052992744123647836,200.25187789400007,True,False
35,960.0,750,19682,0.2,0.051114661353864374,208.599729243,True,False
36,730.0,603,20285,0.2,0.05803208489785131,215.14560052300004,True,False
37,570.0,732,21017,0.2,0.053755015793862077,223.684275196,True,False
38,720.0,708,21725,0.2,0.054543378615572964,231.305428123,True,False
39,350.0,484,22209,0.2,0.05791828858335156,236.44969157100007,True,False
40,380.0,559,22768,0.2,0.055542155089122906,242.77672785600004,True,False
41,660.0,544,23312,0.2,0.05305575177429572,249.18421522600005,True,False
42,710.0,884,24196,0.2,0.05541938790267679,259.649576984,True,False
43,1260.0,1124,25320,0.2,0.05294347233453838,271.65090069,True,False
44,590.0,688,26008,0.2,0.049819809292594705,278.57489742,True,False
45,1230.0,621,26629,0.2,0.053238764306109757,285.84632910199997,True,False
46,440.0,602,27231,0.2,0.054340504426509145,292.363180646,True,False
47,460.0,707,27938,0.2,0.05355549072794153,299.92822027100004,True,False
48,420.0,561,28499,0.2,0.049594326363876465,306.281531132,True,False
49,710.0,660,29159,0.2,0.05211160345228784,313.365215591,True,False
50,980.0,623,29782,0.2,0.05158720296980718,319.97599398799997,True,False
51,730.0,739,30521,0.2,0.05497062315258223,329.449501432,True,False
52,730.0,680,31201,0.2,0.05834176704177962,337.372756713,True,False
53,780.0,676,31877,0.2,0.05836067436615655,345.03985095,True,False
54,990.0,505,32382,0.2,0.06507982940427841,351.20656897,True,False
55,640.0,564,32946,0.2,0.059098230205899015,358.003622302,True,False
56,470.0,710,33656,0.2,0.0682512115728989,365.522311507,True,False
57,240.0,571,34227,0.2,0.06674549876856552,371.7828165490001,True,False
58,320.0,479,34706,0.2,0.05967844155190202,377.39837527800006,True,False
59,640.0,572,35278,0.2,0.058164370506741364,384.157009575,True,False
60,880.0,661,35939,0.2,0.0625075082576862,390.912181824,True,False
61,220.0,303,36242,0.2,0.06549488137917299,394.20911781,True,False
62,380.0,470,36712,0.2,0.06795620394207663,399.899323305,True,False
63,1500.0,822,37534,0.2,0.07102060652587835,409.12737890299996,True,False
64,780.0,817,38351,0.2,0.06623918224838288,418.581319552,True,False
65,460.0,505,38856,0.2,0.07285862594960242,424.12281614500006,True,False
66,440.0,420,39276,0.2,0.07374422488113244,428.796729236,True,False
67,830.0,786,40062,0.2,0.07183194776037138,436.94772556900006,True,False
68,770.0,682,40744,0.2,0.06566943288699054,444.682837636,True,False
69,990.0,661,41405,0.2,0.06534514068766976,452.267493793,True,False
